pk,jsondata,id,name,description,markup_description,analyzed,gloss,type,source,comment,original_script,xhtml,markup_text,markup_analyzed,markup_gloss,markup_comment,language_pk,version
14,,13,Value cardinal ordinal 1 üks esimene 2 kaks teine 3 kolm kolmas 4 neli neljas 5 viis viies,,,,,,,,,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>Value </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>cardinal </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-width:0.0175cm; border-style:solid; border-"">
          <p>ordinal </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>1 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>üks </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>esimene </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>2 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>kaks </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>teine </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>3 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>kolm </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>kolmas </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>4 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>neli </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>neljas </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>5 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>viis </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>viies </p>
        </td>
      </tr>
    </table>
  </div>
  
",,,,,2235,1
15,,igt-4,v-,I we,,v-,1 SG /1 PL,,,,,,,v-,"<span class=""s1"">1</span>SG<span class=""s1"">/1</span>PL","<div class=""comments"">
  
</div>",2526,1
16,,15,instrumental marker: quale,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>quale</dd>
  </dl>
</div>",,,,,1534,1
17,,16,"sne yaa' ""dedo""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>sne yaa'</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>",,,,,2133,1
18,,17,instrumental and comitative marker: -(m)bo,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-(m)bo</dd>
  </dl>
</div>",,,,,2101,1
19,,igt-5,troa traqa la nekönatr,the child must come,,troa	traqa	la	nekönatr,oblig	arrive	the	child,,,,,,,troa	traqa	la	nekönatr,oblig	arrive	the	child,"<div class=""comments"">
  <p> </p>
<p>note: In the non-Past, illustrated here, the agent marker is used obligatory with transitive subjects and optionally with agentive intransitive subjects; in the Past, it is used with all subjects (though with some exceptions for inanimates). Pronouns apparently follow the same pattern, though few possibilities are illustrated.</p>
</div>",2402,1
20,,igt-6,kola huliwa hnei wamo,Wamo is working,,kola	huliwa	hnei	wamo,dur	work	ag	Wamo,,,,,,,kola	huliwa	hnei	wamo,dur	work	ag	Wamo,"<div class=""comments"">
  <p> </p>
<p>note: In the non-Past, illustrated here, the agent marker is used obligatory with transitive subjects and optionally with agentive intransitive subjects; in the Past, it is used with all subjects (though with some exceptions for inanimates). Pronouns apparently follow the same pattern, though few possibilities are illustrated.</p>
</div>",2402,1
21,,igt-7,öhnyi angajoxu hë hnei sinewenyi,Sinewenyi has found the big chief,,öhnyi	angajoxu	hë	hnei	sinewenyi,find	big.chief	acc	ag	Sinewenyi,,,,,,,öhnyi	angajoxu	hë	hnei	sinewenyi,find	big.chief	acc	ag	Sinewenyi,"<div class=""comments"">
  <p> </p>
<p>note: In the non-Past, illustrated here, the agent marker is used obligatory with transitive subjects and optionally with agentive intransitive subjects; in the Past, it is used with all subjects (though with some exceptions for inanimates). Pronouns apparently follow the same pattern, though few possibilities are illustrated.</p>
</div>",2402,1
22,,igt-8,kə kii Musa faara,Musa threw a stone.,,kə	kii	Musa	faara,COMP	throw	Musa	stone,,,,,,,<i>kə </i>	<i>kii </i>	<i>Musa </i>	<i>faara </i>,COMP	throw	Musa	stone,,2076,1
23,,igt-9,ma-gusə minə,a short woman,,ma-gusə	minə,ATTR-short	woman,,,,,,,<i>ma-gusə </i>	<i>minə </i>,ATTR-short	woman,,2076,1
24,,20,"ARM: dɨ'ká ""arm"" HAND: bõ'hõ ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: dɨ'ká</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: bõ'hõ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>",,,,,448,1
25,,21,"dëj³ ro'o'² ""dedo""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>dëj³ ro'o'²</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>",,,,,472,1
26,,22,"masükün ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>masükün</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2316,1
27,,23,"-q˚ui ʔ ač ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>-q˚ui<u>ʔ</u>ač</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2422,1
28,,24,shaayì,,,,,,,,,"<div class=""Example""><p><i>shaayì</i></p></div>",,,,,489,1
29,,igt-10,ŋal̩a gad̩ugu Ø ya j,the woman went,,ŋal̩a	gad̩ugu	Ø	ya	j,f.nom	woman	3sg	go	aor,,,,,,,ŋal̩a	gad̩ugu	Ø	ya	j,f.nom	woman	3sg	go	aor,"<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>",2498,1
30,,igt-11,na bada ŋan ga ŋiñ,Father took me,,na	bada	ŋan	ga	ŋiñ,m.nom	father	3 sg>1sg	take	aor,,,,,,,na	bada	ŋan	ga	ŋiñ,"m.nom	father	3<span style=""font-variant:small-caps""><span style=""font-variant:small-caps"">sg&gt;1sg</span></span>	take	aor","<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>",2498,1
31,,igt-12,Ø malam ŋa d̩ar̩̩awu b,I found the man,,Ø	malam	ŋa	d̩ar̩̩awu	b,m.acc	man	1sg>3sg	find	aor,,,,,,,Ø	malam	ŋa	d̩ar̩̩awu	b,m.acc	man	1sg>3sg	find	aor,"<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>",2498,1
32,,igt-13,ŋaya bayi ga ŋa yag,I am going,,ŋaya	bayi	ga	ŋa	yag,I.nom	emph	n3	1s g	go,,,,,,,ŋaya	bayi	ga	ŋa	yag,"I.<span style=""font-variant:small-caps""><span style=""font-variant:small-caps"">nom</span></span>	emph	n3	1s<span>g</span>	go","<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>",2498,1
33,,igt-14,buyʔ ñan wu na ña n bayi,he showed you,,buyʔ	ñan	wu	na	ña	n	bayi,show	3sg>2sg	aux	aor	you	acc	emph,,,,,,,buyʔ	ñan	wu	na	ña	n	bayi,show	3sg>2sg	aux	aor	you	acc	emph,"<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>",2498,1
34,,26,iyi ‘3 rd pronoun’ iyih ‘proximate’ ima ‘remote’,,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>iyi</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronoun’</p>
</td>
</tr>
<tr>
<td>
<p><i>iyih</i></p>
</td>
<td>
<p>‘proximate’</p>
</td>
</tr>
<tr>
<td>
<p><i>ima</i></p>
</td>
<td>
<p>‘remote’</p>
</td>
</tr>
</table></div>",,,,,2150,1
35,,igt-15,húme’e sebáhti - ta - im ‘áman kaáte,Sebastian’s family is going there.,,húme’e	sebáhti - ta - im	‘áman	kaáte,those	Sebastian - POSS - PL	there	go.PL,,,,,,,"húme’e	sebáhti<span class=""s2"">-</span>ta<span class=""s2"">-</span>im	‘áman	kaáte","those	Sebastian<span class=""s2"">-</span>POSS<span class=""s2"">-</span>PL	there	go.PL","<div class=""comments"">
  
</div>",2515,1
36,,igt-16,húme’e páplo ‘íntok siláh - ta - im,Paul and Silas’s group,,húme’e	páplo	‘íntok	siláh - ta - im,those	Paul	and	Silas - POSS - PL,,,,,,,"húme’e	páplo	‘íntok	siláh<span class=""s2"">-</span>ta<span class=""s2"">-</span>im","those	Paul	and	Silas<span class=""s2"">-</span>POSS<span class=""s2"">-</span>PL","<div class=""comments"">
  
</div>",2515,1
37,,28,"ARM: borrinyu ""arm, lower part of arm, wing, shield, branch of river"" HAND: biyin ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: borrinyu</p>
</td>
<td>
<p>""arm, lower part of arm, wing, shield, branch of river""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: biyin</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>",,,,,491,1
38,,igt-17,qvavilebis micema mziastvis vanos mier,’Vano’s giving flowers to Mzia,,qvavilebis	micema	mziastvis	vanos	mier,flowers.gen	give.an.nom	Mzia.for	Vano	by,,,,,,,qvavilebis	micema	mziastvis	vanos	mier,flowers.gen	give.an.nom	Mzia.for	Vano	by,"<div class=""comments"">
  
</div>",2526,1
39,,30,instrumental marker: kâdâk,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>kâdâk</dd>
  </dl>
</div>",,,,,2085,1
40,,igt-18,e zudu,He/she is sitting.,,e	zudu,3SG	sit,,,,,,,<i>e </i>	<i>zudu </i>,3SG	sit,,1806,1
41,,igt-19,mwela-geni e vusi angi,The girl is almost crying.,,mwela-geni	e	vusi	angi,child-woman	3SG	almost	cry,,,,,,,<i>mwela-geni </i>	<i>e </i>	<i>vusi </i>	<i>angi </i>,child-woman	3SG	almost	cry,,1806,1
42,,32,instrumental and comitative marker: -itʻ,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-itʻ</dd>
  </dl>
</div>",,,,,2526,1
43,,33,o ‘medial’ also used as 3 rd (oblique - ta ) dā ’proximate’ o ‘medial’ ē ‘distant’,,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>o</i></p>
</td>
<td>
<p>‘medial’ also used as 3<sup>rd</sup> (oblique -<i>ta</i>)</p>
</td>
</tr>
<tr>
<td>
<p><i>dā</i></p>
</td>
<td>
<p>’proximate’</p>
</td>
</tr>
<tr>
<td>
<p><i>o</i></p>
</td>
<td>
<p>‘medial’</p>
</td>
</tr>
<tr>
<td>
<p><i>ē</i></p>
</td>
<td>
<p>‘distant’</p>
</td>
</tr>
</table></div>",,,,,2412,1
44,,igt-20,n-tu joos b  . n-tue joos (mo),‘I killed a rat.’ ‘I killed rats.’,,n-tu	joos	b  .	n-tue	joos	(mo),1.SG-  kill.SG	rat		1.SG-  kill.PL	rat	(PL),,,,,,,"<span style=""font-style:italic;""><i>n-tu</i></span>	<span style=""font-style:italic;""><i>joos</i></span>	b  .	<span style=""font-style:italic;""><i>n-tue</i></span>	<span style=""font-style:italic;""><i>joos</i></span>	<span style=""font-style:italic;""><i>(mo)</i></span>",1. SG-  kill. SG	rat		1. SG-  kill. PL	rat	(PL),,2270,1
45,,igt-21,ʼiipash sh mat tuupooy k,the men killed each other (themselves),,ʼiipash	sh	mat	tuupooy	k,man	PL.SUBJ	RFL	kill+PL	RLS,,,,,,,ʼiipash	sh	mat	tuupooy	k,man	PL.SUBJ	RFL	kill+PL	RLS,"<div class=""comments"">
  <p>reciprocal marker: mat RFL/RESP</p>
</div>",2479,1
46,,36,instrumental marker: -iya,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-iya</dd>
  </dl>
</div>",,,,,2162,1
47,,37,instrumental marker: -xín,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-xín</dd>
  </dl>
</div>",,,,,1265,1
48,,38,"chu'uchum nowi ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>chu'uchum nowi</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2354,1
49,,igt-22,Nikto ne prišel.,Nobody came.,,Nikto	ne	prišel.,nobody	NEG	came.,,,,,,,"<span style=""font-style:italic; font-weight:bold;""><i><b>Nikto</b></i></span>	<span style=""font-style:italic;""><i>ne</i></span>	<span style=""font-style:italic;""><i>prišel.</i></span>",nobody	NEG	came.,,2547,1
103,,igt-58,sek'eráwe,‘fight’,,sek'eráwe,fight.sg,,,,,,,sek'eráwe,fight.sg,"<div class=""comments"">
  <p>source: Keren Rice, p.c.</p>
</div>",2517,1
105,,igt-60,sek'erákede̅,‘fight’,,sek'erákede̅,fight.pl,,,,,,,sek'erákede̅,fight.pl,"<div class=""comments"">
  <p>source: Keren Rice, p.c.</p>
</div>",2517,1
50,,igt-23,Ja ne videla ničego .,I saw nothing.,,Ja	ne	videla	ničego .,I	NEG	saw	nothing,,,,,,,"<span style=""font-style:italic;""><i>Ja</i></span>	<span style=""font-style:italic;""><i>ne</i></span>	<span style=""font-style:italic;""><i>videla</i></span>	<span style=""font-style:italic; font-weight:bold;""><i><b>ničego</b></i></span> <span style=""font-style:italic;""><i>.</i></span>",I	NEG	saw	nothing,,2547,1
51,,40,"ARM: lāppaw ""arm"" pamjə ""arm"" HAND: īl ""hand"" ilh ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: lāppaw</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>pamjə</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: īl</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>ilh</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>",,,,,2069,1
52,,41,"ilbak-oshi' ""finger"" ilbak-oshi' awaatali' ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ilbak-oshi'</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
<tr>
<td>
<p>ilbak-oshi' awaatali'</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,1444,1
53,,42,reciprocal marker: -ku,,,,,,,,,"<div class=""comments"">
  <p>reciprocal marker: -ku</p>
</div>",,,,,2493,1
54,,igt-24,pu-n-tay,He saw them.,,pu-n-tay,3PL.P-3SG.A  -see,,,,,,,"<span style=""font-style:italic;""><i>pu-n-tay</i></span>",3PL.P-3SG.A  -see,,2430,1
55,,igt-25,pu-ka-tay,I saw them.,,pu-ka-tay,3PL.A-1SG.A  -see,,,,,,,"<span style=""font-style:italic;""><i>pu-ka-tay</i></span>",3PL.A-1SG.A  -see,,2430,1
56,,44,comitative marker: -ʻale,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-ʻale</dd>
  </dl>
</div>",,,,,673,1
57,,45,"temisu ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>temisu</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,1851,1
58,,46,tìika,,,,,,,,,"<div class=""Example""><p><i>tìika</i></p></div>",,,,,1787,1
59,,igt-26,ŋà-sábbá-à,this head,,ŋà-sábbá-à,DEM-head-this,,,,,,,<i>ŋà-sábbá-à </i>,DEM-head-this,,1677,1
60,,igt-27,ŋà-ɓíré-nù,that stick,,ŋà-ɓíré-nù,DEM-stick-that,,,,,,,<i>ŋà-ɓíré-nù </i>,DEM-stick-that,,1677,1
61,,48,comitative marker: taʻː-,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>taʻː-</dd>
  </dl>
</div>",,,,,2031,1
62,,igt-28,ɛ́n òcámò,He ate it.,,ɛ́n	òcámò,s/he	3 SG  .eat.PFV.CONSTRUCT,,,,,,,<i>ɛ́n </i>	<i>òcámò </i>,s/he	3 SG  .eat. PFV.CONSTRUCT,,2512,1
63,,igt-29,òcàmò,He ate it.,,òcàmò,3 SG  .eat.PFV,,,,,,,<i>òcàmò </i>,3 SG  .eat. PFV,,2512,1
