pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
51,"{""icon"": ""cdd0000""}",12A-3,Complex,Complex syllable structure,,12,3,,1
52,"{""icon"": ""cffffff""}",13A-1,No tones,No tones,,13,1,,1
53,"{""icon"": ""cff66ff""}",13A-2,Simple tone system,Simple tone system,,13,2,,1
54,"{""icon"": ""cdd0000""}",13A-3,Complex tone system,Complex tone system,,13,3,,1
55,"{""icon"": ""cffffff""}",14A-1,No fixed stress,No fixed stress (mostly weight-sensitive stress),,14,1,,1
56,"{""icon"": ""cdd0000""}",14A-2,Initial,Initial: stress is on the first syllable,,14,2,,1
57,"{""icon"": ""ddd0000""}",14A-3,Second,Second: stress is on the second syllable,,14,3,,1
58,"{""icon"": ""sdd0000""}",14A-4,Third,Third: stress is on the third syllable,,14,4,,1
59,"{""icon"": ""s0000dd""}",14A-5,Antepenultimate,Antepenultimate: stress is on the antepenultimate (third from the right) syllable,,14,5,,1
60,"{""icon"": ""d0000dd""}",14A-6,Penultimate,Penultimate: stress is on the penultimate (second from the right) syllable,,14,6,,1
61,"{""icon"": ""c0000dd""}",14A-7,Ultimate,Ultimate: stress is on the ultimate (last) syllable,,14,7,,1
62,"{""icon"": ""cdd0000""}",15A-1,Left-edge: First or second,Left-edge: Stress is on the first or second syllable,,15,1,,1
63,"{""icon"": ""ddd0000""}",15A-2,Left-oriented: One of the first three,Left-oriented: The third syllable is involved,,15,2,,1
64,"{""icon"": ""c0000dd""}",15A-3,Right-edge: Ultimate or penultimate,Right-edge: Stress on ultimate or penultimate syllable,,15,3,,1
65,"{""icon"": ""d0000dd""}",15A-4,Right-oriented: One of the last three,Right-oriented: The antepenultimate is involved,,15,4,,1
66,"{""icon"": ""cffff00""}",15A-5,Unbounded: Stress can be anywhere,Unbounded: Stress can be anywhere in the word,,15,5,,1
67,"{""icon"": ""ccccccc""}",15A-6,Combined: Right-edge and unbounded,Combined: Both Right-edge and unbounded,,15,6,,1
68,"{""icon"": ""c990099""}",15A-7,Not predictable,Not predictable,,15,7,,1
69,"{""icon"": ""cffffff""}",15A-8,Fixed stress (no weight-sensitivity),Fixed stress (no weight-sensitivity),,15,8,,1
70,"{""icon"": ""cffffff""}",16A-1,No weight,"No weight, or weight factor unknown",,16,1,,1
71,"{""icon"": ""cdd0000""}",16A-2,Long vowel,Long vowel: long vowels are heavy for stress,,16,2,,1
72,"{""icon"": ""c0000dd""}",16A-3,Coda consonant,Coda consonant: closed syllables are heavy for stress,,16,3,,1
73,"{""icon"": ""c990099""}",16A-4,Long vowel or coda consonant,Long vowel + Coda: long vowels or closed syllables,,16,4,,1
74,"{""icon"": ""c000000""}",16A-5,Prominence,Prominence: other factors are heavy for stress,,16,5,,1
75,"{""icon"": ""cffff00""}",16A-6,Lexical stress,"Lexical: lexical stress, diacritic weight",,16,6,,1
76,"{""icon"": ""ccccccc""}",16A-7,Combined,Combined: two of the above factors determine weight,,16,7,,1
77,"{""icon"": ""cdd0000""}",17A-1,Trochaic,Trochaic: left-hand syllable in the foot is strong,,17,1,,1
78,"{""icon"": ""c0000dd""}",17A-2,Iambic,Iambic: right-hand syllable in the foot is strong,,17,2,,1
79,"{""icon"": ""c990099""}",17A-3,Dual: both trochaic and iambic,Dual: system has both trochaic and iambic feet,,17,3,,1
80,"{""icon"": ""ccccccc""}",17A-4,Undetermined,Undetermined: no clear foot type,,17,4,,1
81,"{""icon"": ""cffffff""}",17A-5,No rhythmic stress,Absent: no rhythmic stress,,17,5,,1
82,"{""icon"": ""cffffff""}",18A-1,All present,All present,,18,1,,1
83,"{""icon"": ""c0000dd""}",18A-2,No bilabials,No bilabials,,18,2,,1
84,"{""icon"": ""cffff00""}",18A-3,No fricatives,No fricatives,,18,3,,1
85,"{""icon"": ""cdd0000""}",18A-4,No nasals,No nasals,,18,4,,1
86,"{""icon"": ""c990099""}",18A-5,No bilabials or nasals,No bilabials or nasals,,18,5,,1
87,"{""icon"": ""cff6600""}",18A-6,No fricatives or nasals,No fricatives or nasals,,18,6,,1
88,"{""icon"": ""cffffff""}",19A-1,None,None,,19,1,,1
89,"{""icon"": ""d000000""}",19A-2,Clicks,Clicks,,19,2,,1
90,"{""icon"": ""cffff00""}",19A-3,Labial-velars,Labial-velars,,19,3,,1
91,"{""icon"": ""s0000dd""}",19A-4,Pharyngeals,Pharyngeals,,19,4,,1
92,"{""icon"": ""cdd0000""}",19A-5,'Th' sounds,'Th' sounds,,19,5,,1
93,"{""icon"": ""ddd0000""}",19A-6,"Clicks, pharyngeals, and 'th'","Clicks, pharyngeals, and 'th'",,19,6,,1
94,"{""icon"": ""sdd0000""}",19A-7,"Pharyngeals and ""th""",Pharyngeals and 'th',,19,7,,1
95,"{""icon"": ""c0000dd""}",20A-1,Exclusively concatenative,Exclusively concatenative,,20,1,,1
96,"{""icon"": ""cffffff""}",20A-2,Exclusively isolating,Exclusively isolating,,20,2,,1
97,"{""icon"": ""ddd0000""}",20A-3,Exclusively tonal,Exclusively tonal,,20,3,,1
98,"{""icon"": ""dff66ff""}",20A-4,Tonal/isolating,Tonal/isolating,,20,4,,1
99,"{""icon"": ""d990099""}",20A-5,Tonal/concatenative,Tonal/concatenative,,20,5,,1
100,"{""icon"": ""cffff00""}",20A-6,Ablaut/concatenative,Ablaut/concatenative,,20,6,,1
101,"{""icon"": ""c9999ff""}",20A-7,Isolating/concatenative,Isolating/concatenative,,20,7,,1
102,"{""icon"": ""cffff00""}",21A-1,Monoexponential case,Monoexponential case,,21,1,,1
103,"{""icon"": ""cdd0000""}",21A-2,Case + number,Case + number,,21,2,,1
104,"{""icon"": ""c990099""}",21A-3,Case + referentiality,Case + referentiality,,21,3,,1
105,"{""icon"": ""c0000dd""}",21A-4,Case + TAM,Case + TAM (tense-aspect-mood),,21,4,,1
106,"{""icon"": ""cffffff""}",21A-5,No case,No case,,21,5,,1
107,"{""icon"": ""c0000dd""}",22A-1,0-1 category per word,0-1 category per word,,22,1,,1
108,"{""icon"": ""c9999ff""}",22A-2,2-3 categories per word,2-3 categories per word,,22,2,,1
109,"{""icon"": ""cffffff""}",22A-3,4-5 categories per word,4-5 categories per word,,22,3,,1
110,"{""icon"": ""cff6600""}",22A-4,6-7 categories per word,6-7 categories per word,,22,4,,1
111,"{""icon"": ""cff6600""}",22A-5,8-9 categories per word,8-9 categories per word,,22,5,,1
112,"{""icon"": ""cdd0000""}",22A-6,10-11 categories per word,10-11 categories per word,,22,6,,1
113,"{""icon"": ""caa0000""}",22A-7,12-13 categories per word,12-13 categories per word,,22,7,,1
114,"{""icon"": ""cdd0000""}",23A-1,Head marking,P is head-marked,,23,1,,1
115,"{""icon"": ""c0000dd""}",23A-2,Dependent marking,P is dependent-marked,,23,2,,1
116,"{""icon"": ""c990099""}",23A-3,Double marking,P is double-marked,,23,3,,1
117,"{""icon"": ""cffffff""}",23A-4,No marking,P has no marking,,23,4,,1
118,"{""icon"": ""cffff00""}",23A-5,Other,Other types,,23,5,,1
119,"{""icon"": ""cdd0000""}",24A-1,Head marking,Possessor is head-marked,,24,1,,1
120,"{""icon"": ""c0000dd""}",24A-2,Dependent marking,Possessor is dependent-marked,,24,2,,1
121,"{""icon"": ""c990099""}",24A-3,Double marking,Possessor is double-marked,,24,3,,1
122,"{""icon"": ""cffffff""}",24A-4,No marking,Possessor has no marking,,24,4,,1
123,"{""icon"": ""cffff00""}",24A-5,Other,Other types,,24,5,,1
124,"{""icon"": ""cdd0000""}",25A-1,Head-marking,Consistently head-marking,,25,1,,1
125,"{""icon"": ""c0000dd""}",25A-2,Dependent-marking,Consistently dependent-marking,,25,2,,1
126,"{""icon"": ""c990099""}",25A-3,Double-marking,Consistently double-marking,,25,3,,1
127,"{""icon"": ""cffffff""}",25A-4,Zero-marking,Consistently zero-marking,,25,4,,1
128,"{""icon"": ""ccccccc""}",25A-5,Inconsistent or other,Inconsistent marking or other type,,25,5,,1
136,"{""icon"": ""cff66ff""}",27A-2,Full reduplication only,Full reduplication only,,27,2,,1
138,"{""icon"": ""cffffff""}",28A-1,No case marking,Inflectional case marking is absent or minimal,,28,1,,1
139,"{""icon"": ""cff66ff""}",28A-2,Core cases only,Inflectional case marking is syncretic for core cases only,,28,2,,1
140,"{""icon"": ""cdd0000""}",28A-3,Core and non-core,Inflectional case marking is syncretic for core and non-core cases,,28,3,,1
141,"{""icon"": ""c0000dd""}",28A-4,No syncretism,Inflectional case marking is never syncretic,,28,4,,1
142,"{""icon"": ""cffffff""}",29A-1,No subject person/number marking,No subject person/number marking,,29,1,,1
143,"{""icon"": ""cdd0000""}",29A-2,Syncretic,Subject person/number marking is syncretic,,29,2,,1
144,"{""icon"": ""c0000dd""}",29A-3,Not syncretic,Subject person/number marking is never syncretic,,29,3,,1
145,"{""icon"": ""cffffff""}",30A-1,None,None,,30,1,,1
146,"{""icon"": ""cffff00""}",30A-2,Two,Two,,30,2,,1
147,"{""icon"": ""cff6600""}",30A-3,Three,Three,,30,3,,1
148,"{""icon"": ""cdd0000""}",30A-4,Four,Four,,30,4,,1
149,"{""icon"": ""c000000""}",30A-5,Five or more,Five or more,,30,5,,1
150,"{""icon"": ""cffffff""}",31A-1,No gender,No gender system,,31,1,,1
151,"{""icon"": ""cdd0000""}",31A-2,Sex-based,Sex-based gender system,,31,2,,1
152,"{""icon"": ""c0000dd""}",31A-3,Non-sex-based,Non-sex-based gender system,,31,3,,1
153,"{""icon"": ""cffffff""}",32A-1,No gender,No gender system,,32,1,,1
154,"{""icon"": ""cdd0000""}",32A-2,Semantic,Semantic assignment,,32,2,,1
155,"{""icon"": ""c0000dd""}",32A-3,Semantic and formal,Semantic and formal assignment,,32,3,,1
158,"{""icon"": ""caa0000""}",33A-3,Plural stem change,Plural stem change,,33,3,,1
159,"{""icon"": ""c000000""}",33A-4,Plural tone,Plural tone,,33,4,,1
165,"{""icon"": ""cffffff""}",34A-1,No nominal plural,No nominal plural,,34,1,,1
166,"{""icon"": ""c9999ff""}",34A-2,"Only human nouns, optional","Plural only in human nouns, optional",,34,2,,1
167,"{""icon"": ""c0000dd""}",34A-3,"Only human nouns, obligatory","Plural only in human nouns, obligatory",,34,3,,1
168,"{""icon"": ""cffff00""}",34A-4,"All nouns, always optional","Plural in all nouns, always optional",,34,4,,1
169,"{""icon"": ""cff6600""}",34A-5,"All nouns, optional in inanimates","Plural in all nouns, optional in inanimates",,34,5,,1
170,"{""icon"": ""cdd0000""}",34A-6,"All nouns, always obligatory","Plural in all nouns, always obligatory",,34,6,,1
171,"{""icon"": ""cffffff""}",35A-1,No independent subject pronouns,No independent subject pronouns,,35,1,,1
172,"{""icon"": ""ccccccc""}",35A-2,Number-indifferent pronouns,Number-indifferent pronouns,,35,2,,1
173,"{""icon"": ""cffff00""}",35A-3,Person-number affixes,Person-number affixes,,35,3,,1
174,"{""icon"": ""cdd0000""}",35A-4,Person-number stem,Person-number stem,,35,4,,1
175,"{""icon"": ""c9999ff""}",35A-5,Person-number stem + pronominal plural affix,Person-number stem with a pronominal plural affix,,35,5,,1
176,"{""icon"": ""c0000dd""}",35A-6,Person-number stem + nominal plural affix,Person-number stem with a nominal plural affix,,35,6,,1
177,"{""icon"": ""d9999ff""}",35A-7,Person stem + pronominal plural affix,Person stem with a pronominal plural affix,,35,7,,1
178,"{""icon"": ""d0000dd""}",35A-8,Person stem + nominal plural affix,Person stem with a nominal plural affix,,35,8,,1
179,"{""icon"": ""c0000dd""}",36A-1,Associative same as additive plural,Associative plural marker also used for additive plurals,,36,1,,1
180,"{""icon"": ""cdd0000""}",36A-2,Unique affixal associative plural,Special bound associative plural marker,,36,2,,1
181,"{""icon"": ""cff6600""}",36A-3,Unique periphrastic associative plural,Special non-bound associative plural marker,,36,3,,1
182,"{""icon"": ""cffffff""}",36A-4,No associative plural,Associative plural absent,,36,4,,1
190,"{""icon"": ""cdd0000""}",38A-3,Indefinite affix,Indefinite affix on noun,,38,3,,1
191,"{""icon"": ""dffffff""}",38A-4,"No indefinite, but definite article",No indefinite article but definite article,,38,4,,1
192,"{""icon"": ""cffffff""}",38A-5,No definite or indefinite article,Neither indefinite nor definite,,38,5,,1
193,"{""icon"": ""cffffff""}",39A-1,No 'we',No grammaticalised marking at all,,39,1,,1
194,"{""icon"": ""c9999ff""}",39A-2,'We' the same as 'I','We' and 'I' identical,,39,2,,1
195,"{""icon"": ""c0000dd""}",39A-3,No inclusive/exclusive,No inclusive/exclusive opposition,,39,3,,1
196,"{""icon"": ""cff66ff""}",39A-4,Only inclusive,Only inclusive differentiated,,39,4,,1
197,"{""icon"": ""cdd0000""}",39A-5,Inclusive/exclusive,Inclusive and exclusive differentiated,,39,5,,1
198,"{""icon"": ""cffffff""}",40A-1,No person marking,No person marking at all,,40,1,,1
199,"{""icon"": ""c9999ff""}",40A-2,'We' the same as 'I','We' and 'I' identical,,40,2,,1
200,"{""icon"": ""c0000dd""}",40A-3,No inclusive/exclusive,No inclusive/exclusive opposition,,40,3,,1
201,"{""icon"": ""cff66ff""}",40A-4,Only inclusive,Only inclusive differentiated,,40,4,,1
202,"{""icon"": ""cdd0000""}",40A-5,Inclusive/exclusive,Inclusive and exclusive differentiated,,40,5,,1
203,"{""icon"": ""cffffff""}",41A-1,No distance contrast,No distance contrast,,41,1,,1
204,"{""icon"": ""cffff00""}",41A-2,Two-way contrast,Two-way contrast,,41,2,,1
205,"{""icon"": ""cff6600""}",41A-3,Three-way contrast,Three-way contrast,,41,3,,1
206,"{""icon"": ""cdd0000""}",41A-4,Four-way contrast,Four-way contrast,,41,4,,1
207,"{""icon"": ""c000000""}",41A-5,Five (or more)-way contrast,Five (or more)-way contrast,,41,5,,1
208,"{""icon"": ""cffff00""}",42A-1,Identical,Same forms,,42,1,,1
209,"{""icon"": ""cdd0000""}",42A-2,Different stem,Different stems,,42,2,,1
210,"{""icon"": ""c0000dd""}",42A-3,Different inflection,Different inflectional features,,42,3,,1
211,"{""icon"": ""cffffff""}",43A-1,Unrelated,Third person pronouns and demonstratives are unrelated to demonstratives,,43,1,,1
212,"{""icon"": ""cdd0000""}",43A-2,Related for all demonstratives,Third person pronouns and demonstratives are related to all demonstratives,,43,2,,1
213,"{""icon"": ""ddd0000""}",43A-3,Related to remote demonstratives,Third person pronouns and demonstratives are related to remote demonstratives,,43,3,,1
214,"{""icon"": ""sdd0000""}",43A-4,Related to non-remote demonstratives,Third person pronouns and demonstratives are related to non-remote demonstratives,,43,4,,1
215,"{""icon"": ""cffff00""}",43A-5,Related by gender markers,Third person pronouns and demonstratives are related by gender markers,,43,5,,1
216,"{""icon"": ""c0000dd""}",43A-6,Related for non-human reference,Third person pronouns and demonstratives are related for non-human reference,,43,6,,1
217,"{""icon"": ""c0000dd""}",44A-1,In 3rd person + 1st and/or 2nd person,Gender distinctions in 3rd person plus 1st and/or 2nd person,,44,1,,1
219,"{""icon"": ""cff66ff""}",44A-3,3rd person singular only,Gender distinctions in 3rd person singular only,,44,3,,1
220,"{""icon"": ""d0000dd""}",44A-4,1st or 2nd person but not 3rd,Gender distinctions in 1st or 2nd person but not 3rd,,44,4,,1
221,"{""icon"": ""dff66ff""}",44A-5,3rd person non-singular only,Gender distinctions in 3rd person non-singular only,,44,5,,1
222,"{""icon"": ""cffffff""}",44A-6,No gender distinctions,No gender distinctions,,44,6,,1
223,"{""icon"": ""cffffff""}",45A-1,No politeness distinction,Second person pronouns encode no politeness distinction,,45,1,,1
224,"{""icon"": ""cffff00""}",45A-2,Binary politeness distinction,Second person pronouns encode a binary politeness distinction,,45,2,,1
225,"{""icon"": ""cdd0000""}",45A-3,Multiple politeness distinctions,Second person pronouns encode multiple politeness distinctions,,45,3,,1
226,"{""icon"": ""c0000dd""}",45A-4,Pronouns avoided for politeness,Second person pronouns are dominantly avoided for politeness reasons,,45,4,,1
227,"{""icon"": ""cdd0000""}",46A-1,Interrogative-based,Interrogative-based indefinites,,46,1,,1
228,"{""icon"": ""c0000dd""}",46A-2,Generic-noun-based,Generic-noun-based indefinites,,46,2,,1
229,"{""icon"": ""cffff00""}",46A-3,Special,Special indefinites,,46,3,,1
230,"{""icon"": ""ccccccc""}",46A-4,Mixed,Mixed indefinites,,46,4,,1
231,"{""icon"": ""cdd0000""}",123A-3,Pronoun-retention,Pronoun-Retention Strategy,,123,3,,1
232,"{""icon"": ""cffffff""}",46A-5,Existential construction,Existential construction,,46,5,,1
233,"{""icon"": ""cffff00""}",47A-1,Identical,Intensifiers and reflexive pronouns are formally identical,,47,1,,1
234,"{""icon"": ""cdd0000""}",47A-2,Differentiated,Intensifiers and reflexive pronouns are formally differentiated,,47,2,,1
235,"{""icon"": ""cffffff""}",48A-1,No adpositions,No adpositions,,48,1,,1
237,"{""icon"": ""cff66ff""}",48A-3,Pronouns only,Person marking for pronouns only,,48,3,,1
238,"{""icon"": ""cdd0000""}",48A-4,Pronouns and nouns,Person marking for pronouns and nouns,,48,4,,1
240,"{""icon"": ""cffffcc""}",49A-2,2 cases,2 case categories,,49,2,,1
241,"{""icon"": ""cffff00""}",49A-3,3 cases,3 case categories,,49,3,,1
242,"{""icon"": ""cffcc00""}",49A-4,4 cases,4 case categories,,49,4,,1
243,"{""icon"": ""cff4400""}",49A-5,5 cases,5 case categories,,49,5,,1
244,"{""icon"": ""cdd0000""}",49A-6,6-7 cases,6-7 case categories,,49,6,,1
245,"{""icon"": ""caa0000""}",49A-7,8-9 cases,8-9 case categories,,49,7,,1
246,"{""icon"": ""c000000""}",49A-8,10 or more cases,10 or more case categories,,49,8,,1
247,"{""icon"": ""dffffff""}",49A-9,Exclusively borderline case-marking,Exclusively borderline morphological case-marking,,49,9,,1
249,"{""icon"": ""c0000dd""}",50A-2,Symmetrical,Symmetrical case-marking,,50,2,,1
250,"{""icon"": ""cdd0000""}",50A-3,Additive-quantitatively asymmetrical,Additive-quantitatively asymmetrical case-marking,,50,3,,1
251,"{""icon"": ""ddd0000""}",50A-4,Subtractive-quantitatively asymmetrical,Subtractive-quantitatively asymmetrical case-marking,,50,4,,1
252,"{""icon"": ""sdd0000""}",50A-5,Qualitatively asymmetrical,Qualitatively asymmetrical case-marking,,50,5,,1
253,"{""icon"": ""cffff00""}",50A-6,Syncretism in relevant NP-types,Syncretism in relevant NP-types,,50,6,,1
255,"{""icon"": ""cdd0000""}",51A-2,Case prefixes,Case prefixes,,51,2,,1
256,"{""icon"": ""c000000""}",51A-3,Case tone,Case coded by tone,,51,3,,1
697,"{""icon"": ""cdd0000""}",144N-3,NegSO[V-Neg],NegSO[V-Neg],,149,3,,1
257,"{""icon"": ""cffff00""}",51A-4,Case stem change,Case coded by changes within noun stem,,51,4,,1
258,"{""icon"": ""ccccccc""}",51A-5,Mixed morphological case,Mixed morphological case strategies with none primary,,51,5,,1
263,"{""icon"": ""cffff00""}",52A-1,Identity,Identity,,52,1,,1
264,"{""icon"": ""cdd0000""}",52A-2,Differentiation,Differentiation,,52,2,,1
265,"{""icon"": ""cff6600""}",52A-3,Mixed,Mixed,,52,3,,1
266,"{""icon"": ""cffffff""}",53A-1,None,Zero: Ordinal numerals do not exist,,53,1,,1
267,"{""icon"": ""cffff00""}",53A-2,"One, two, three",One: No distinction of cardinal and ordinal numerals,,53,2,,1
268,"{""icon"": ""cff6600""}",53A-3,"First, two, three",First: Cardinal and ordinal numerals are identical except for 'one' and 'first',,53,3,,1
269,"{""icon"": ""cdd0000""}",53A-4,"One-th, two-th, three-th",One-th: One-th: Ordinal numerals are derived from cardinal numerals,,53,4,,1
270,"{""icon"": ""c990099""}",53A-5,"First/one-th, two-th, three-th",First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',,53,5,,1
271,"{""icon"": ""c0000dd""}",53A-6,"First, two-th, three-th","Two-th: Two-th: Ordinal numerals from 'two' upwards are derived from cardinal numerals, 'first' is suppletive",,53,6,,1
272,"{""icon"": ""c000000""}",53A-7,"First, second, three-th",Second: 'First' and a small set of consecutive higher ordinal numerals are suppletive,,53,7,,1
273,"{""icon"": ""ccccccc""}",53A-8,Various,Variou-th: Other solutions,,53,8,,1
274,"{""icon"": ""cffffff""}",54A-1,No distributive numerals,No distributive numerals,,54,1,,1
275,"{""icon"": ""cffff00""}",54A-2,Marked by reduplication,Marked by reduplication,,54,2,,1
276,"{""icon"": ""cdd0000""}",54A-3,Marked by prefix,Marked by prefix,,54,3,,1
277,"{""icon"": ""c0000dd""}",54A-4,Marked by suffix,Marked by suffix,,54,4,,1
278,"{""icon"": ""ddd0000""}",54A-5,Marked by preceding word,Marked by preceding word,,54,5,,1
279,"{""icon"": ""d0000dd""}",54A-6,Marked by following word,Marked by following word,,54,6,,1
280,"{""icon"": ""ccccccc""}",54A-7,Marked by mixed or other strategies,Marked by mixed or other strategies,,54,7,,1
281,"{""icon"": ""cffffff""}",55A-1,Absent,Numeral classifiers are absent,,55,1,,1
282,"{""icon"": ""cff66ff""}",55A-2,Optional,Numeral classifiers are optional,,55,2,,1
283,"{""icon"": ""cdd0000""}",55A-3,Obligatory,Numeral classifiers are obligatory,,55,3,,1
284,"{""icon"": ""cdd0000""}",56A-1,Formally different,Formally different,,56,1,,1
285,"{""icon"": ""cffff00""}",56A-2,"Formally similar, without interrogative","Formally similar, not involving interrogative expression",,56,2,,1
286,"{""icon"": ""c0000dd""}",56A-3,"Formally similar, with interrogative","Formally similar, involving interrogative expression",,56,3,,1
287,"{""icon"": ""cdd0000""}",57A-1,Possessive prefixes,Possessive prefixes,,57,1,,1
291,"{""icon"": ""cdd0000""}",58A-1,Exists,Obligatorily possessed nouns exist,,58,1,,1
293,"{""icon"": ""cffffff""}",59A-1,No possessive classification,No possessive classification,,59,1,,1
295,"{""icon"": ""cff6600""}",59A-3,Three to five classes,Three to five classes,,59,3,,1
296,"{""icon"": ""cdd0000""}",59A-4,More than five classes,More than five classes,,59,4,,1
297,"{""icon"": ""cffffff""}",60A-1,Weakly differentiated,Weakly differentiated,,60,1,,1
298,"{""icon"": ""dffff00""}",60A-2,Genitives and adjectives collapsed,"Moderately differentiated, with genitives and adjectives collapsed",,60,2,,1
299,"{""icon"": ""sffff00""}",60A-3,Genitives and relative clauses collapsed,"Moderately differentiated, with genitives and relative clauses collapsed",,60,3,,1
300,"{""icon"": ""cffff00""}",60A-4,Adjectives and relative clauses collapsed,"Moderately differentiated, with adjectives and relative clauses collapsed",,60,4,,1
301,"{""icon"": ""cffff00""}",60A-5,Moderately differentiated in other ways,Moderately differentiated; other,,60,5,,1
302,"{""icon"": ""cdd0000""}",60A-6,Highly differentiated,Highly differentiated,,60,6,,1
303,"{""icon"": ""cffffff""}",61A-1,Not without noun,Adjective may not occur without noun,,61,1,,1
304,"{""icon"": ""cffff00""}",61A-2,Without marking,"Adjective may occur without noun, and without marking",,61,2,,1
292,"{""icon"": ""cffffff""}",58A-2,Absent,No obligatorily possessed nouns,,58,2,,2
294,"{""icon"": ""cffff00""}",59A-2,Two classes,Two classes,,59,2,,2
305,"{""icon"": ""cdd0000""}",61A-3,Marked by prefix,"Adjective may occur without noun, obligatorily marked by prefix",,61,3,,1
306,"{""icon"": ""c0000dd""}",61A-4,Marked by suffix,"Adjective may occur without noun, obligatorily marked by suffix",,61,4,,1
307,"{""icon"": ""ddd0000""}",61A-5,Marked by preceding word,"Adjective may occur without noun, obligatorily marked by preceding word",,61,5,,1
308,"{""icon"": ""d0000dd""}",61A-6,Marked by following word,"Adjective may occur without noun, obligatorily marked by following word",,61,6,,1
309,"{""icon"": ""ccccccc""}",61A-7,Marked by mixed or other strategies,"Adjective may occur without noun, obligatorily marked by mixed or other strategies",,61,7,,1
310,"{""icon"": ""cffff00""}",62A-1,Sentential,"Sentential: dependent-marking of the finite clause is retained for S, A and P",,62,1,,1
311,"{""icon"": ""c0000dd""}",62A-2,Possessive-Accusative,"Possessive-Accusative: S/A treated as possessors, P retains sentential marking",,62,2,,1
312,"{""icon"": ""cdd0000""}",62A-3,Ergative-Possessive,"Ergative-Possessive: S/P treated as possessors, A treated differently",,62,3,,1
313,"{""icon"": ""c990099""}",62A-4,Double-Possessive,Double-Possessive: All major arguments treated as possessors,,62,4,,1
314,"{""icon"": ""dcccccc""}",62A-5,Other,Other: Minor patterns,,62,5,,1
315,"{""icon"": ""ccccccc""}",62A-6,Mixed,Mixed: Several patterns in the same language,,62,6,,1
316,"{""icon"": ""c000000""}",62A-7,Restricted,Not both A and P in the same construction,,62,7,,1
317,"{""icon"": ""cffffff""}",62A-8,No action nominals,No action nominals,,62,8,,1
318,"{""icon"": ""cdd0000""}",63A-1,'And' different from 'with',AND-languages: 'and' and 'with' are not identical,,63,1,,1
320,"{""icon"": ""cffff00""}",64A-1,Identity,Nominal and verbal conjunction are largely identical,,64,1,,1
321,"{""icon"": ""cdd0000""}",64A-2,Differentiation,Nominal and verbal conjunction are different,,64,2,,1
322,"{""icon"": ""cffffff""}",64A-3,Both expressed by juxtaposition,Nominal and verbal conjunction are primarily expressed by juxtaposition,,64,3,,1
323,"{""icon"": ""cdd0000""}",65A-1,Grammatical marking,Grammatical marking of perfective/imperfective distinction,,65,1,,1
324,"{""icon"": ""cffffff""}",65A-2,No grammatical marking,No grammatical marking of perfective/imperfective distinction,,65,2,,1
325,"{""icon"": ""cffff00""}",66A-1,"Present, no remoteness distinctions",Past/non-past distinction marked; no remoteness distinction,,66,1,,1
