id,language_id,language_name,xhtml
13,est,Estonian,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>Value </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>cardinal </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-width:0.0175cm; border-style:solid; border-"">
          <p>ordinal </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>1 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>üks </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-width:0.0175cm; border-top-style:solid; border-top-border-bottom-style:none;"">
          <p>esimene </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>2 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>kaks </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>teine </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>3 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>kolm </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>kolmas </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>4 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-style:none;"">
          <p>neli </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-style:none;"">
          <p>neljas </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>5 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-width:0.0175cm; border-left-style:solid; border-left-border-right-style:none; border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>viis </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.0486in; padding-right:0.0486in; padding-top:0in; padding-bottom:0in; border-left-style:none; border-right-width:0.0175cm; border-right-style:solid; border-right-border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>viies </p>
        </td>
      </tr>
    </table>
  </div>
  
"
14,geo,Georgian,"<div class=""comments"">
  
</div>"
15,tmc,Timucua,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>quale</dd>
  </dl>
</div>"
16,cso,Chatino,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>sne yaa'</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>"
17,msl,Masalit,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-(m)bo</dd>
  </dl>
</div>"
18,dre,Drehu,"<div class=""comments"">
  <p> </p>
<p>note: In the non-Past, illustrated here, the agent marker is used obligatory with transitive subjects and optionally with agentive intransitive subjects; in the Past, it is used with all subjects (though with some exceptions for inanimates). Pronouns apparently follow the same pattern, though few possibilities are illustrated.</p>
</div>"
19,gud,Gude,
20,sri,Siriano,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: dɨ'ká</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: bõ'hõ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
21,trc,Trique (de Chicahuaxtla),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>dëj³ ro'o'²</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>"
22,tsh,Tümpisa Shoshone,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>masükün</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
23,squ,Squamish,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>-q˚ui<u>ʔ</u>ač</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
24,yms,Yemsa,"<div class=""Example""><p><i>shaayì</i></p></div>"
25,myi,Mangarayi,"<div class=""comments"">
  <p> </p>
<p>note: Neuter nouns have no nominative-accusative distinction.</p>
</div>"
26,err,Erromangan,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>iyi</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronoun’</p>
</td>
</tr>
<tr>
<td>
<p><i>iyih</i></p>
</td>
<td>
<p>‘proximate’</p>
</td>
</tr>
<tr>
<td>
<p><i>ima</i></p>
</td>
<td>
<p>‘remote’</p>
</td>
</tr>
</table></div>"
27,yaq,Yaqui,"<div class=""comments"">
  
</div>"
28,yyo,Yorta Yorta,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: borrinyu</p>
</td>
<td>
<p>""arm, lower part of arm, wing, shield, branch of river""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: biyin</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
29,geo,Georgian,"<div class=""comments"">
  
</div>"
30,slp,Selepet,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>kâdâk</dd>
  </dl>
</div>"
31,lgu,Longgu,
32,geo,Georgian,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-itʻ</dd>
  </dl>
</div>"
33,brh,Brahui,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>o</i></p>
</td>
<td>
<p>‘medial’ also used as 3<sup>rd</sup> (oblique -<i>ta</i>)</p>
</td>
</tr>
<tr>
<td>
<p><i>dā</i></p>
</td>
<td>
<p>’proximate’</p>
</td>
</tr>
<tr>
<td>
<p><i>o</i></p>
</td>
<td>
<p>‘medial’</p>
</td>
</tr>
<tr>
<td>
<p><i>ē</i></p>
</td>
<td>
<p>‘distant’</p>
</td>
</tr>
</table></div>"
34,mup,Mupun,
35,mar,Maricopa,"<div class=""comments"">
  <p>reciprocal marker: mat RFL/RESP</p>
</div>"
36,yuk,Yukulta,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-iya</dd>
  </dl>
</div>"
37,psj,Popoloca (San Juan Atzingo),"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-xín</dd>
  </dl>
</div>"
38,ood,Papago,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>chu'uchum nowi</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
39,rus,Russian,
40,acm,Achumawi,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: lāppaw</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>pamjə</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: īl</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>ilh</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
41,cck,Chickasaw,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ilbak-oshi'</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
<tr>
<td>
<p>ilbak-oshi' awaatali'</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
42,kho,Khoekhoe,"<div class=""comments"">
  <p>reciprocal marker: -ku</p>
</div>"
43,yim,Yimas,
44,dug,Dullay (Gollango),"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-ʻale</dd>
  </dl>
</div>"
45,tsf,Colorado,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>temisu</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
46,abm,Alabama,"<div class=""Example""><p><i>tìika</i></p></div>"
47,cai,Chai,
48,txj,Totonac (Xicotepec de Juárez),"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>taʻː-</dd>
  </dl>
</div>"
49,lan,Lango,
50,cjo,Chichimeca-Jonaz,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td colspan=""3"">
          <p>
            <span>(</span>
            <span style=""font-style:italic;"">M</span>
            <span> = lenis nasal)</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-variant: small-caps;"">1sg</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-variant: small-caps;"">2sg</span>
          </p>
        </td>
        <td>
          <p> </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">námenʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">naménʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘face’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">suní</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">síni</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘lip’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">kútún</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">utún</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘neck’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">túmbiʔir</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">nímbíʔir</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘tail’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">nahí</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">únho</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘friend’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">tásócʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">kisócʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘belt’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">namá</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">éMaͅ</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘carrying rack’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">kúndí</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">kirí</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘water’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">nambá</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">úngwa</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘hat’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">kúmboʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">kibóʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘land’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">kaʔá</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">kanʔa</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘hand’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">masúͅ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">uniʔí</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘wife’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">táta</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">úngwæ</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘father’</span>
          </p>
        </td>
      </tr>
    </table>
  </div>
  
"
51,aus,Auslan,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td style=""padding:0in; border-style:none;"">
          <p> </p>
        </td>
        <td style=""padding:0in; border-style:none;"">
          <p> </p>
        </td>
        <td style=""padding:0in; border-style:none;"">
          <p> </p>
        </td>
        <td style=""padding:0in; border-left-style:none; border-right-style:none; border-top-style:none; border-bottom-width:0.0175cm; border-bottom-style:solid; border-bottom-"">
          <p>pol-q </p>
        </td>
      </tr>
      <tr>
        <td style=""padding:0in; border-style:none;"">
          <p style=""margin-top:0.0402in; margin-bottom:0in;"">CLASS </p>
        </td>
        <td style=""padding:0in; border-style:none;"">
          <p style=""margin-top:0.0402in; margin-bottom:0in;"">CANCEL </p>
        </td>
        <td style=""padding:0in; border-style:none;"">
          <p style=""margin-top:0.0402in; margin-bottom:0in;"">TODAY, </p>
        </td>
        <td style=""padding:0in; border-style:none;"">
          <p style=""margin-top:0.0402in; margin-bottom:0in;"">RIGHT </p>
        </td>
      </tr>
      <tr>
        <td colspan=""4"" style=""padding:0in; border-style:none;"">
          <p style=""margin-top:0in; margin-bottom:0.0835in;"">‘The class has been cancelled today, right?’ </p>
        </td>
      </tr>
    </table>
  </div>
  
"
52,com,Comorian,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>ho</dd>
  </dl>
</div>"
53,ppi,Pitta Pitta,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>n̯u-</i></p>
</td>
<td>
<p>‘3<sup>rd</sup>’, which shows deictic distinctions with
suffixes,</p>
</td>
</tr>
<tr>
<td>
<p><i>i/ia</i></p>
</td>
<td>
<p>‘in front’</p>
</td>
</tr>
<tr>
<td>
<p><i>ka</i></p>
</td>
<td>
<p>‘not in front’</p>
</td>
</tr>
<tr>
<td>
<p><i>arri</i></p>
</td>
<td>
<p>‘remote’</p>
</td>
</tr>
<tr>
<td>
<p><i>ka/para</i></p>
</td>
<td>
<p>absent’ or ‘at side’</p>
</td>
</tr>
</table></div>"
54,ceb,Cebuano,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>tudlò</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
55,uzb,Uzbek,
56,apl,Apalaí,
57,eka,Ekari,"<div class=""comments"">
  <p> </p>
</div>"
58,ret,Retuarã,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td13"" valign=""top"">
<p class=""p1"">iʔka</p>
<p class=""p1"">iʔsia</p>
</td>
<td class=""td16"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
59,rbg,Romani (Burgenland),"<div class=""Example""><p><i>tee</i></p></div>"
60,ven,Venda,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>na</dd>
  </dl>
</div>"
61,cay,Cayapa,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>tyamishu</p>
</td>
<td>
<p>""dedo de la mano""</p>
</td>
</tr>
</table></div>"
62,fij,Fijian,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>mai</dd>
  </dl>
</div>"
63,dmi,Dumi,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-ʻa</dd>
  </dl>
</div>"
64,jak,Jakaltek,"<div class=""comments"">
  
</div>"
65,sla,Slave,"<div class=""comments"">
  <p>source: Keren Rice, p.c.</p>
</div>"
66,mcs,Sierra Miwok,"<div class=""comments"">
  <p> </p>
<p>note: Pronouns also have a nominative-accusative case distinction (p.92)</p>
</div>"
67,per,Pero,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>kan</dd>
  </dl>
</div>"
68,dgb,Dagbani,
69,kyl,Eastern Kayah Li,
70,mot,Motuna,
71,sol,Evenki (Solon),"<div class=""Example""><p>[the term for arm/hand does not also denote finger)</p></div>"
72,wel,Welsh,"<div class=""Example""><p><i>te</i></p></div>"
73,ain,Ainu,"<div class=""comments"">
  <p> </p>
</div>"
74,rom,Romanian,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>cu</dd>
  </dl>
</div>"
75,yaq,Yaqui,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-e</dd>
  </dl>
</div>"
76,tub,Tubar,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>sutú-r taka-rá-n</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>"
77,miy,Miya,
78,prs,Persian,"<div class=""Example""><p><i>čaj</i></p></div>"
79,dre,Drehu,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>hnen</dd>
  </dl>
</div>"
80,hui,Huichol,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: mamá</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: mamá</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
</table></div>"
81,apw,Apache (Western),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: bigan</p>
</td>
<td>
<p>""his hand, arm""</p>
</td>
</tr>
<tr>
<td>
<p>bigan</p>
</td>
<td>
<p>""his fingers""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: bigan</p>
</td>
<td>
<p>""his hand, arm""</p>
</td>
</tr>
</table></div>"
82,ppi,Pitta Pitta,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: kilka</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: maṛa</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
919,kro,Krongo,"<div class=""comments"">
  <p> </p>
</div>"
83,say,Popoluca (Sayula),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: cʉ'</p>
</td>
<td>
<p>""mano, brazo""</p>
</td>
</tr>
</table></div>"
84,ypk,Yup'ik (Central),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: talliq</p>
</td>
<td>
<p>""arm (anatomical)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: aaggaq</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>aiggaq</p>
</td>
<td>
<p>""hand, seal flipper""</p>
</td>
</tr>
<tr>
<td>
<p>unan</p>
</td>
<td>
<p>""hand, seal flipper""</p>
</td>
</tr>
</table></div>"
85,swa,Swahili,"<div class=""comments"">
  <p> </p>
<p>note: The words for the tens are borrowed from Arabic, and are mostly not etymologizable within Swahili; but since there is a change of word at each of the tens, with the remainder of the number expressed as an addition to the product of ten, the system is clearly decimal. Swahili sita ‘six’ happens to be a loan from Arabic, so sitini ‘sixty’ is synchronically analyzable.</p>
</div>"
86,dah,Dahalo,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>hollo</dd>
  </dl>
</div>"
87,evn,Even,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-gli</dd>
  </dl>
</div>"
88,des,Desano,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>mani</dd>
  </dl>
</div>"
89,may,Maybrat,
90,lav,Lavukaleve,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">ngai</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘I’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">el</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘exclusive, exactly two’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">e</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘exclusive, more than two’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">mel</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘inclusive, exactly two’</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-style:italic;"">me</span>
          </p>
        </td>
        <td>
          <p>
            <span>‘inclusive, more than two’</span>
          </p>
        </td>
      </tr>
    </table>
  </div>
  
"
91,awt,Awtuw,
92,hay,Hayu,"<div class=""comments"">
  
</div>"
93,yag,Yagua,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>níí</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronoun for animates only’</p>
</td>
</tr>
<tr>
<td>
<p><i>jiy-</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>ru-</i></p>
</td>
<td>
<p>‘that’ also used for 3<sup>rd</sup> person inanimates</p>
</td>
</tr>
</table></div>"
94,evn,Even,"<div class=""Example""><p><i>čaj</i></p></div>"
95,koa,Koasati,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: isakbá</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ilbí</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
96,nen,Nenets,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-(mb/p)oi</dd>
  </dl>
</div>"
97,uzb,Uzbek,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-da</dd>    <dt>Example:</dt>
    <dd><p><i><span>кейин телефон<b>да</b>бригадирлар билан сузлаша<span> </span> бошлади</span></i></p><p><span>'Затем он принялся говорить по телефону с бригадирами.'</span></p></dd>

  </dl>
</div>"
98,oka,Okanagan,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>s-caʕ-ʕ=ikst</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
99,cin,Chumash (Ineseño),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: pu</p>
</td>
<td>
<p>""hand, arm; branch, limb (of tree)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: pu</p>
</td>
<td>
<p>""hand, arm; branch, limb (of tree)""</p>
</td>
</tr>
</table></div>"
100,csf,Chinantec (San Felipe Usila),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>jon⁴³ si¹cúa³i³</p>
</td>
<td>
<p>""dedo de la mano""</p>
</td>
</tr>
</table></div>"
101,kaq,Kaurna,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>mannando</p>
</td>
<td>
<p>""lower arm""</p>
</td>
</tr>
<tr>
<td>
<p>nando</p>
</td>
<td>
<p>""upper arm""</p>
</td>
</tr>
</table></div>"
102,fin,Finnish,
