ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
igt-61,sla,šo n ti n,šo n ti n,sleep.sg,‘sleep’,,
igt-62,sla,šuki n ya,šuki n ya,sleep.du/pl,‘sleep’,,
igt-63,sla,ɫani n we,ɫani n we,die.sg,‘die’,,
igt-64,sla,ɫakeni n dé,ɫakeni n dé,die.du/pl,‘die’,,
igt-65,sla,ɫanihw h e,ɫanihw h e,kill.sg.obj,‘kill’,,
igt-66,sla,ɫanihdé,ɫanihdé,kill.pl.obj,‘kill’,,
igt-67,mcs,naŋ·aʔ ʔyn·y·,naŋ·aʔ\tʔyn·y·,man\tcome.3sg,the man is coming,,
igt-68,mcs,naŋ·aʔ halki· hika·hy j,naŋ·aʔ\thalki·\thika·hy\tj,man\thunt.3sg\tdeer\tacc,the man is hunting the deer,,
igt-69,dgb,Doo maa daa bɔri [ni o ŋubi noo].,Doo\tmaa\tdaa\tbɔri\t[ni\to\tŋubi\tnoo].,man\tthe\tTD\twant\tSUBORD\the\tchew\tfowl,The man wanted to eat fowl.,,
igt-70,kyl,Vɛ̄ síjɯ ʔa-bɛ̄ tə-plɔ.,Vɛ̄\tsíjɯ\tʔa-bɛ̄\ttə-plɔ.,1SG\twant\tNMLZ-yellow\tone-CLF,I want the yellow one.,,
igt-71,mot,Aanih nii tangu-m-u-i-na.,Aanih	nii	tangu-m-u-i-na.,Aanih ( F  )	me	slap- 1OBJ-3AGT-NEAR.PST-F,Aanih slapped me.,,
igt-72,mot,Nii ong miika o-m-i-ng.,Nii	ong	miika	o-m-i-ng.,me	that	betel	give- 1OBJ-2AGT-PL.IMPF,Give that betel mixture to me.,,
igt-73,ain,an,an,be.sg,‘be’,,
igt-74,ain,oka/okay,oka/okay,be.pl,‘be’,,
igt-75,ain,as,as,stand.sg,‘stand’,,
igt-76,ain,roski,roski,stand.pl,‘stand’,,
igt-77,ain,a,a,sit.sg,‘sit’,,
igt-78,ain,rok,rok,sit.pl,‘sit’,,
igt-79,ain,arpa /oman,arpa /oman,go.sg,‘go’,,
igt-80,ain,paye,paye,go.pl,‘go’,,
igt-81,ain,ek,ek,come.sg,‘come’,,
igt-82,ain,arki,arki,come.pl,‘come’,,
igt-83,ain,anu,anu,place.sg.obj,’place’,,
igt-84,ain,ári / áre,ári / áre,place.pl.obj,’place’,,
igt-85,ain,rayke,rayke,kill.sg.obj,’kill’,,
igt-86,ain,ronnu,ronnu,kill.pl.obj,’kill’,,
igt-87,ain,uk,uk,take.sg.obj,’take’,,
igt-88,ain,uyna,uyna,take.pl.obj,’take’,,
igt-89,miy,... àadama fa ta bíy kə̀rá=w,...	àadama	fa	ta	bíy	kə̀rá=w,	so.that	you	NEG	PCL	steal=NEG,... so that you would not steal it,,
igt-90,miy,"mə̀n kwaa zara-tlə́n ka, ...","mə̀n	kwaa	zara-tlə́n	ka,	...",1SG	when	call-3PL	DEF	,"When I call them, ...",,
igt-91,miy,"kwáa zàra-tlə́n aa Kàsham ká, ...","kwáa	zàra-tlə́n	aa	Kàsham	ká,	...",when	call-3PL	SUBJ	Kasham	DEF	,"When Kasham calls them, ...",,
igt-868,kro,táa máatú nkárwátìnìisò,táa\tmáatú\tnkárwátìnìisò,be\ttwenty\tfive,100 (i.e. 20 x 5),,
igt-92,swa,sit ini na nane,sit\tini\tna\tnane,six\tty\tand\tfour,64 (i.e. 6 x 10 + 4),,
igt-93,may,ana m-amo Kumurkek a,ana\tm-amo\tKumurkek\ta,3PL\t3-go\tKumurkek\tq,Are they going to Kumurkek?,,
igt-94,awt,Yen w-æy-re,Yen	w-æy-re,2 SG	NONFACT  -go- FUT,You will go.,,
igt-95,awt,wan po ‘w-æy-rere,wan	po	‘w-æy-rere,1 SG	FOC	NONFACT  -go- DESID,I am the one who wants to go.,,
igt-96,awt,wan po rameyæn,wan	po	rameyæn,1 SG	FOC/COP	human being,I am a human being.,,
igt-97,hay,a u.mu - khata,a\tu.mu\t-\tkhata,his\tmother\t-\tAPL,his mother and others,,
igt-98,fin,e-n syö-nyt omena-a,e-n	syö-nyt	omena-a,neg -1sg	eat-PTCP	apple-PART,I didn’t eat an apple.,,
igt-99,wel,Daeth y dyn.,Daeth\ty\tdyn.,come.PST.3SG\tthe\tman,The man came.,,
igt-100,cmh,Ann waha-k tɨmpi punikai-vɨ,Ann\twaha-k\ttɨmpi\tpunikai-vɨ,Ann\ttwo-OBJ\tstone\tsee-PST,Ann saw two stones.,,
igt-101,cmh,puusi-a=n maga-vɨ,puusi-a=n\tmaga-vɨ,cat-OBJ=1SG.SUBJ\tgive-PST,I gave a cat.,,
igt-102,ika,-rua,-rua,1 SG,I,,
igt-103,ika,-a,-a,1 PL,we,,
igt-985,ond,kātuheʔ,kātuheʔ,1.SG. say.IMPF,say,,
igt-986,ond,wakǝ,wakǝ,1.SG. say.STATIVE/PERF,say,,
igt-987,ond,waʔkīluʔ,waʔkīluʔ,1.SG. say.PFV,say,,
igt-104,kro,N-àpá-ŋ àʔàŋ káaw y-íkkì.,N-àpá-ŋ	àʔàŋ	káaw	y-íkkì.,1-PFV. hit- TR	I	person	M  -that,I hit that man.,,
igt-105,kro,N-àdá-ŋ àʔàŋ bìitì à-káaw.,N-àdá-ŋ	àʔàŋ	bìitì	à-káaw.,1- PFV  .give- TR	I	water	DAT  -person,I gave water to the man/woman.,,
igt-106,kor,Ne-nun ka- to coh -ta.,Ne-nun	ka- to	coh -ta.,you-TOP	go-even.if	good-DECL,You may go.,,
igt-107,dag,oaenapan … oam gugunawa namu onam on,oaenapan	…	oam gugunawa	namu	onam	on,people		Friday	first	come	pst.3pl,the people came first on Friday,,
igt-108,dag,tuan ao pa orogum yav e,tuan\tao\tpa\torogum\tyav\te,pig\tup\tinvisible\tOrogum\tsee\tpst.ss.3sg,Orogum saw a pig up there out of sight,,
igt-109,dag,ne utu wao ang en a gutur ewa,ne\tutu\twao\tang\ten\ta\tgutur\tewa,I\tup.there\tWao\tgo\tpst.1sg\tdep\tstory\tclit,the story of when I went up to Wao,,
igt-110,dag,ne oaise mame wadia g ian,ne\toaise\tmame\twadia\tg\tian,I\tnews\tthis\tteach\t2\tdur.prs.1sg,I teach you this news,,
igt-111,chk,čeywətku lʡ in təm tko gərg ən,čeywətku\tlʡ\tin\ttəm\ttko\tgərg\tən,hunt\tptcp\tposs\tkill\tapass\tan\tabs,"'the hunter's killing', 'the killing of the hunter' (either 'the hunter is killing' or 'someone is killing the hunter')",,
igt-112,eng,I,I,1sg,I,,
igt-113,eng,we,we,1pl,we,,
igt-114,irq,ta tiʔitá-r axwees,ta\ttiʔitá-r\taxwees,IMPERS.SUBJ\tstory-F\ttell.3SG.M,They tell a story.,,
igt-115,irq,baabá aa búuhh as aníng,baabá\taa\tbúuhh\tas\taníng,father\t3SUBJ.PERF\tbe.angry.3SG\tbecause.of\t1SG,Father is angry because of me.,,
igt-116,bag,je gei napa,je\tgei\tnapa,we\tlove\tRESP,we love each other,,
igt-117,lon,pʷɛlɛyah a yo,pʷɛlɛyah\ta\tyo,parrotfish\tPOSS\t1SG,my parrotfish,,
igt-118,lcr,Mado yo,Mado\tyo,Mado\tthey,Mado and company,,
igt-119,mao,ka oma te kootiro,ka\toma\tte\tkootiro,INCEP\trun\tART.DEF\tgirl,The girl runs.,,
igt-120,mao,ka pai te whare nei,ka\tpai\tte\twhare\tnei,INCEP\tgood\tART.DEF\thouse\tthis,This house is good.,,
igt-121,mao,he pai te koorero,he\tpai\tte\tkoorero,ART.INDEF\tgood\tART.DEF\ttalk,‘The talk is good.’ (lit. ‘The talk (is) a good one.’),,
igt-122,mao,he kiwi teera manu,he\tkiwi\tteera\tmanu,ART.INDEF\tkiwi\tthis\tbird,This bird is a kiwi.,,
igt-123,yag,dáraj u y v u yaj ú y táraqui ráncháj u,dáraj u y	v u yaj ú y	táraqui	ráncháj u,two	ten	one	more,21,,
igt-124,sml,kʰbəs pɔdɔŋ ke,kʰbəs\tpɔdɔŋ\tke,die\ttiger\tthat,the tiger died,,
igt-125,sml,ki=bukɒʔ la=knlək hn=pintuʔ,ki=bukɒʔ	la=knlək	hn=pintuʔ,3A=open	erg =husband	acc =door,the husband opened the door,,
igt-126,sml,dehn paloh,dehn\tpaloh,they\tflee,they fled,,
igt-127,sml,ki=ca la=kəh,ki=ca	la=kəh,3A=eat	erg =3,he ate it,,
igt-128,sml,pdɒr hn=ʔəɲ,pdɒr	hn=ʔəɲ,follow	acc =I.f,follow me,,
igt-129,tgr,ḥaqo ʔət karan ʔaqabbəl,ḥaqo\tʔət\tkaran\tʔaqabbəl,after\tto\tKaran\t1SG.return,after I return to Karan,,
igt-130,tgr,šimat ʔət laḥazzu,šimat\tʔət\tlaḥazzu,chieftainship\twhile\tthey.seek,while they were seeking the chieftainship [for him],,
igt-131,tur,Ahmet gel-di.,Ahmet\tgel-di.,Ahmet\tcome-PST.DIR.EVD,‘Ahmet came.’ (witnessed by the speaker),,
igt-132,tur,Ahmet gel-miş,Ahmet\tgel-miş,Ahmet\tcome-PST.INDIR.EVD,‘Ahmet came.’ (unwitnessed by the speaker),,
igt-133,baw,Nangmah ka nan=umpî.,Nangmah\tka\tnan=umpî.,you\tI\t2=marry,I marry you.,,
igt-134,baw,Nan sinah chabu ka nan=pêk.,Nan\tsinah\tchabu\tka\tnan=pêk.,you\tto\tbook\tI\t2=give,I give the book to you.,,
igt-135,usa,wau ginam t ir arei,wau\tginam\tt\tir\tarei,child\tplace\tinto\tascend\t3sg.farpst,the child went up into the village,,
igt-136,usa,munon eng nam s orei,munon\teng\tnam\ts\torei,man\tthe\ttree\tcut\t3sg.farpst,the man cut a tree,,
igt-137,usa,wo madang ire is ib â,wo\tmadang\tire\tis\tib\tâ,he\tMadang\tacross\tdescend\tsg.fut\t3sg,he will go down to Madang,,
igt-138,usa,in mâi obo u b oun,in\tmâi\tobo\tu\tb\toun,we\twhat\tdo\tpl\tfut\t1pl,what will we do?,,
igt-139,usa,… wo ba irâb …,…	wo	ba	irâb	…,	he	take	ascend.SS	,... and [they] took him and went up ...,,
igt-151,kio,k'úl / kóp / kú̅,k'úl / kóp / kú̅,lie.pl,’be lying’,,
igt-140,kio,ét,ét,big.sg,"’be big, important’",,
igt-141,kio,bín,bín,big.pl,"’be big, important’",,
igt-142,kio,syɔ́n,syɔ́n,small.sg,"’be small, young’",,
igt-143,kio,syán,syán,small.pl,"’be small, young’",,
igt-144,kio,kyṍy,kyṍy,tall.sg,"’be tall, long’",,
igt-145,kio,kĩ́ni̅́,kĩ́ni̅́,tall.pl,"’be tall, long’",,
igt-146,kio,cé̅,cé̅,short.sg,’be short’,,
igt-147,kio,cá̅dó,cá̅dó,short.pl,’be short’,,
igt-148,kio,ã́gyà,ã́gyà,sit.sg/du,"’be, be sitting’",,
igt-149,kio,k’úl,k’úl,sit.pl,"’be, be sitting’",,
igt-150,kio,k’ó̅ / c’ó̅,k’ó̅ / c’ó̅,lie.sg/du,’be lying’,,
igt-152,kio,cél,cél,sit.sg/du,’be sitting’ (inanimate subj),,
igt-153,kio,sɔ́l,sɔ́l,sit.pl,’be sitting’ (inanimate subj),,
igt-154,kio,cé,cé,set.sg/du.obj,"’set, put in’",,
igt-155,kio,sɔ́,sɔ́,set.pl.obj,"’set, put in’",,
igt-156,kio,c'ó̅,c'ó̅,lay.sg/du.obj,’lay’,,
igt-157,kio,k'ú̅,k'ú̅,lay.pl.obj,’lay’,,
igt-158,kio,c'óygyá,c'óygyá,land.sg/du,"’land, fall against’",,
igt-159,kio,k'úygyá,k'úygyá,land.pl,"’land, fall against’",,
igt-160,kio,ól,ól,drop.sg/du,"’drop, fall’",,
igt-161,kio,p'él,p'él,drop.pl,"’drop, fall’",,
igt-162,kio,t'ál,t'ál,sever.sg/du.obj,’sever’,,
igt-163,kio,t h á̅,t h á̅,sever.pl.obj,’sever’,,
igt-164,hin,laRkaa kal aay-aa,laRkaa\tkal\taay-aa,boy\tyesterday\tcome.AOR-SG.M,The boy came yesterday.,,
igt-165,hin,laRke ne laRkii ko dekh-aa,laRke	ne	laRkii	ko	dekh-aa,boy.OBL	ERG	girl	ACC	see- SG.M,The boy saw the girl.,,
igt-166,pol,Anna je jabłko.,Anna\tje\tjabłko.,Anna\teat\tapple,Anna is eating the/an apple.,,
igt-167,kbl,netsa d’ agellid’ en temourth agi,netsa\td’\tagellid’\ten\ttemourth\tagi,he\tCOP\tking\tof\tcountry\tthis,He is king of this country.,,
igt-168,ame,mel mala heje on ((mel) eu) busali nu-i-a,mel\tmala\theje\ton\t((mel)\teu)\tbusali\tnu-i-a,boy\tchicken\tillicit\ttake.3SG.SUBJ-REM.PST\tboy\tthat\trun.away\tgo-3SG.SUBJ-TOD.PST,The boy that stole the chicken ran away.,,
igt-169,geo,me,me,1sg.nom,I,,
igt-170,geo,čven,čven,1pl.nom,we,,
igt-171,orh,jir,jir,exist.1.SG.M.PRES,'exist',,
igt-172,orh,ture,ture,exist.1.SG.M.PST,'exist',,
igt-173,orh,taha,taha,exist.1.SG.M.FUT,'exist',,
igt-174,pny,Ngatha purlpi [puntha-rta].,Ngatha	purlpi	[puntha-rta].,I.NOM	want	swim- FUT,I want to swim.,,
igt-175,mna,do - kala - mo tora ndo Wa Mbaruisa,do\t-\tkala\t-\tmo\ttora\tndo\tWa\tMbaruisa,3pR\t-\tgo\t-\tPF\tagain\tPLR\tART\tMbaruisa,Wa Mbaruisa and her sister went again,,
igt-176,mna,no - hamba ndo Wa Marangkululi,no\t-\thamba\tndo\tWa\tMarangkululi,3sR\t-\tchase\tPLR\tART\tMarangkululi,he chased Wa Marangkululi and her friends,,
igt-177,zun,kʔeccannišši toʔ ʔa·-tu,kʔeccannišši toʔ	ʔa·-tu,with.joy	go-PERM,May you go with joy ((a formal greeting).),,
igt-178,yuk,waranaŋkuḷu- ka -ti,waranaŋkuḷu- ka -ti,go.NEG.DES-1SG.S-PRES,I’m trying to go.,,
igt-179,yuk,ṭalmata -ŋa -nti ŋita,ṭalmata -ŋa -nti	ŋita,chop.IND-1SG.A-FUT	wood,I’ll chop the wood.,,
igt-180,yuk,t y inkaka- nki ŋata,t y inkaka- nki	ŋata,follow.IMP-1SG.P	me,Follow me.,,
igt-181,nav,yá,yá,go.sg,‘go/come’,,
igt-182,nav,áázh,áázh,go.du,‘go/come’,,
igt-183,nav,kai,kai,go.pl,‘go/come’,,
igt-184,nav,wod,wod,run.sg,‘run for shelter’,,
igt-185,nav,cháá,cháá,run.du,‘run for shelter’,,
igt-186,nav,jéé,jéé,run.pl,‘run for shelter’,,
igt-187,nav,dá,dá,run.sg,‘sit’,,
igt-188,nav,ké,ké,run.du,‘sit’,,
igt-189,nav,bin,bin,run.pl,‘sit’,,
igt-190,nav,tí,tí,lie.sg,‘lie/lay down’,,
igt-191,nav,téézh,téézh,lie.du,‘lie/lay down’,,
igt-192,nav,jéé,jéé,lie.pl,‘lie/lay down’,,
igt-193,nav,na',na',come out.sg,‘come out (in quality)’,,
igt-194,nav,dee',dee',come out.du/pl,‘come out (in quality)’,,
igt-195,nav,tsá,tsá,die.sg,‘die’,,
igt-196,nav,ná,ná,die.pl,‘die’,,
igt-197,nav,yí,yí,die of old age.sg,‘die of old age/hunger’,,
igt-198,nav,gháá,gháá,die of old age.pl,‘die of old age/hunger’,,
igt-199,grk,íme,íme,be.1.SG.PRES,'be',,
igt-200,grk,ímun(a),ímun(a),be.1.SG.IMPF,'be',,
igt-201,grk,éxo sta Ɵ -í,éxo\tsta\tƟ\t-í,have.1.SG.PRES\tstand-PST.PTCP\t(=PERF.1.SG\t'be'),'be',,
igt-202,grk,le( ɣ )-õ,le( ɣ )-õ,say-1.SG.PRES,'say',,
igt-203,grk,e-le ɣ -a,e-le ɣ -a,AUGMENT-say-1.SG.PST,'say',,
igt-204,grk,Ɵ a le( ɣ )-õ,Ɵ a le( ɣ )-õ,FUT say-1.SG.PRES,'say',,
igt-205,grk,Ɵ a (ei)p-õ,Ɵ a (ei)p-õ,FUT say-1.SG.PRES,'say',,
igt-206,grk,eīp-a,eīp-a,say.1.SG.PST.PFV,'say',,
igt-207,grk,exõ p-eī,exõ\tp-eī,have.1.SG.PRES\tsay-PST.PTCP,'say',,
igt-208,grk,blep-õ,blep-õ,see-1.SG.PRES,'see',,
igt-209,grk,e-blep-a,e-blep-a,AUGMENT-see-1.SG.PST,'see',,
igt-210,grk,Ɵ a blep-õ,Ɵ a blep-õ,FUT see-1.SG.PRES,'see',,
igt-211,grk,Ɵ a (i)d-õ,Ɵ a (i)d-õ,FUT see-1.SG.PRES,'see',,
igt-212,grk,eid-a,eid-a,see.1.SG.PST.PFV,'see',,
igt-213,grk,exõ id-eī,exõ\tid-eī,have.1.SG.PRES\tsee-PST.PTCP,'see',,
igt-214,grk,tro( ɣ )-õ,tro( ɣ )-õ,eat-1.SG.PRES,'eat',,
igt-215,grk,e-tro ɣ -a,e-tro ɣ -a,AUGMENT-eat-1.SG.PST,'eat',,
igt-216,grk,Ɵ a tro( ɣ )-õ,Ɵ a tro( ɣ )-õ,FUT eat-1.SG.PRES,'eat',,
igt-217,grk,Ɵ a fa ɣ -õ,Ɵ a fa ɣ -õ,FUT eat-1.SG.PRES,'eat',,
igt-218,grk,fa ɣ -a,fa ɣ -a,eat.1.SG.PST.PFV,'eat',,
igt-219,grk,exõ fa ɣ -eī,exõ fa ɣ -eī,have.1.SG.PRES eat-PST.PTCP,'eat',,
igt-220,bab,mǝ̀ yè wěembwā ƒáŋ tǐi wī sɪ̵́ sǎŋ (ŋwǝ̀),mǝ̀\tyè\twěembwā\tƒáŋ\ttǐi\twī\tsɪ̵́\tsǎŋ\t(ŋwǝ̀),I\tsee.PFV\tchild\twho\tfather\this\tPST2\tbeat.PFV\t(him),I have seen a child whom his father had beaten. note: optional gap strategy,,
igt-221,bab,mǝ̀ yè ŋkáw ŋkɪ̵́ǝ ƒáŋ Làmbí kɔ̀,mǝ̀\tyè\tŋkáw\tŋkɪ̵́ǝ\tƒáŋ\tLàmbí\tkɔ̀,I\tsee.PFV\tchair\tthat\twhich\tLambi\tgive.PFV,I have seen the chair which Lambi gave. note: obligatory gap strategy,,
igt-222,tuk,Te basa 'a nu La Petrus nu boku,Te\tbasa\t'a\tnu\tLa\tPetrus\tnu\tboku,core\tread\tan\tposs\tprop.m\tPeter\tposs\tbook,Peter's reading of the book.,,
igt-223,lda,Mukasa n-ange tu-li babazzi,Mukasa	n-ange	tu-li	babazzi,Mukasa	and-1 SG	1PL.PRES-COP	carpenters,Mukasa and I are carpenters.,,
igt-224,lda,omugaati gu-li mu kabada,omugaati	gu-li	mu	kabada,loaf	3 SG.PRES  -be	in	cupboard,The loaf is in the cupboard.,,
igt-225,lon,iy ki ʔi la ɛlɛwɛn,iy\tki\tʔi\tla\tɛlɛwɛn,3\tSG\tPERF\tgo\tfar,He went far.,,
igt-226,lon,iy amat iy ɔ,iy	amat	iy ɔ,the	man	this,this man,,
igt-227,klv,i kariga guyau,i\tkariga\tguyau,3sg\tdie\tchief,the chief died,,
igt-228,klv,e tatai makena kilagola,e\ttatai\tmakena\tkilagola,3sg\tcarve\tcanoe.prow.board\tKilagola,Kilagola carves this canoe prow board,,
igt-229,yim,panmal na tmuk t,panmal\tna\ttmuk\tt,man\tcl1\tfall\tpfv,the man fell down,,
igt-230,yim,payum narmaŋ na mpu tay,payum\tnarmaŋ\tna\tmpu\ttay,man.pl\twoman\t3sgP\t3plA\tsee,the men saw the woman,,
igt-231,brm,θwâ-dé,θwâ-dé,go- ACT,"((S)he) goes, went.",,
igt-232,brm,θwâ-mé,θwâ-mé,go- POT,((S)he) will go.,,
igt-233,brm,θwâ-bí d. ma-θwâ-bû,θwâ-bí	d.	ma-θwâ-bû,go- PERF		NEG  -go- NEG,"‘((S)he) has gone.’ ‘((s)he) does/did/will not go, has not gone’",,
igt-234,pme,sá̅k,sá̅k,kill.sg,‘kill’,,
igt-235,pme,du̅léy,du̅léy,kill.pl,‘kill’,,
igt-236,pme,ká̅,ká̅,sit.sg,‘sit’,,
igt-237,pme,na̅p h ó,na̅p h ó,sit.pl,‘sit’,,
igt-238,pme,kóm,kóm,stand.sg,‘stand’,,
igt-239,pme,qu̅lám,qu̅lám,stand.pl,‘stand’,,
igt-240,pme,si̅xá,si̅xá,give.sg.obj,‘give’,,
igt-241,pme,bi̅díx,bi̅díx,give.pl.obj,‘give’,,
igt-242,pme,šu̅dík h,šu̅dík h,pull.sg.obj,‘pull out something that resists’,,
igt-243,pme,šu̅bék h,šu̅bék h,pull.du.obj,‘pull out something that resists’,,
igt-244,pme,šu̅yá̅w,šu̅yá̅w,pull.pl.obj,‘pull out something that resists’,,
igt-245,mnd,rén lái le,rén\tlái\tle,person\tcome\tcrs,the person has come,,
